zpid,Time,Event,Price,Walk,Transit,Bike,EI,Middle,SeniorHigh
11252647,4/16/2019,Sold,495000,49,29,20,7,7,8
11252647,3/18/2019,Pending sale,499900,49,29,20,7,7,8
11252647,3/1/2019,Listed for sale,499900,49,29,20,7,7,8
11252647,10/19/2012,Sold,275000,49,29,20,7,7,8
11252647,8/22/2012,Listed for sale,269900,49,29,20,7,7,8
11252647,10/9/1997,Sold,178500,49,29,20,7,7,8
11256984,5/8/2019,Sold,164900,10,32,3,6,5,NULL
11256984,3/26/2019,Pending sale,164900,10,32,3,6,5,NULL
11256984,3/20/2019,Listed for sale,164900,10,32,3,6,5,NULL
11256984,11/8/2013,Sold,69900,10,32,3,6,5,NULL
11256984,9/20/2013,Listed for sale,69900,10,32,3,6,5,NULL
11260758,1/31/2020,Sold,6500,56,58,44,4,2,7
11260758,10/8/2019,Pending sale,9900,56,58,44,4,2,7
11260758,9/13/2019,Price change,9900,56,58,44,4,2,7
11260758,8/9/2019,Price change,8900,56,58,44,4,2,7
11260758,7/30/2019,Listed for sale,9900,56,58,44,4,2,7
11260758,5/2/2019,Pending sale,9900,56,58,44,4,2,7
11260758,4/16/2019,Price change,9900,56,58,44,4,2,7
11260758,3/7/2019,Listed for sale,12900,56,58,44,4,2,7
11260758,1/3/2019,Listing removed,13100,56,58,44,4,2,7
11260758,12/24/2018,Pending sale,13100,56,58,44,4,2,7
11260758,12/8/2018,Price change,13100,56,58,44,4,2,7
11260758,10/30/2018,Pending sale,13200,56,58,44,4,2,7
11260758,10/22/2018,Listed for sale,13200,56,58,44,4,2,7
11268430,10/28/2019,Listing removed,4000,65,41,40,4,2,5
11268430,10/25/2019,Price change,4000,65,41,40,4,2,5
11268430,9/3/2019,Price change,15000,65,41,40,4,2,5
11268430,8/18/2019,Price change,19000,65,41,40,4,2,5
11268430,8/6/2019,Price change,24900,65,41,40,4,2,5
11268430,7/29/2019,Listed for sale,28500,65,41,40,4,2,5
11268430,7/25/2019,Sold,125000,65,41,40,4,2,5
11268430,6/27/2019,Pending sale,149000,65,41,40,4,2,5
11268430,6/20/2019,Price change,149000,65,41,40,4,2,5
11268430,5/19/2019,Price change,159000,65,41,40,4,2,5
11268430,4/15/2019,Price change,166000,65,41,40,4,2,5
11268430,3/3/2019,Listed for sale,178000,65,41,40,4,2,5
11268430,4/25/2003,Sold,85000,65,41,40,4,2,5
11268778,5/31/2019,Sold,245000,68,42,48,4,2,5
11268778,3/23/2019,Listed for sale,245000,68,42,48,4,2,5
11268778,6/28/2018,Sold,230900,68,42,48,4,2,5
11268778,4/28/2018,Pending sale,239900,68,42,48,4,2,5
11268778,4/25/2018,Listed for sale,239900,68,42,48,4,2,5
11268778,3/20/2014,Sold,164000,68,42,48,4,2,5
11268778,9/26/2013,Sold,50000,68,42,48,4,2,5
11268778,8/19/2013,Price change,62000,68,42,48,4,2,5
11268778,8/6/2013,Price change,10000,68,42,48,4,2,5
11268778,8/2/2013,Listed for sale,--,68,42,48,4,2,5
11268778,12/8/2012,Listing removed,89900,68,42,48,4,2,5
11268778,12/5/2012,Listed for sale,89900,68,42,48,4,2,5
11268778,5/6/2012,Listing removed,79900,68,42,48,4,2,5
11268778,1/26/2012,Price change,79900,68,42,48,4,2,5
11268778,10/27/2011,Price change,84900,68,42,48,4,2,5
11268778,7/2/2011,Listed for sale,89900,68,42,48,4,2,5
11268778,11/28/2006,Sold,79000,68,42,48,4,2,5
11268920,10/29/2019,Sold,216500,64,41,28,4,2,5
11268920,9/16/2019,Pending sale,219000,64,41,28,4,2,5
11268920,9/10/2019,Listed for sale,219000,64,41,28,4,2,5
11268920,4/29/2019,Sold,90100,64,41,28,4,2,5
11268920,3/25/2019,Pending sale,79900,64,41,28,4,2,5
11268920,3/22/2019,Listed for sale,79900,64,41,28,4,2,5
