ZPid,Time,Event,Price,Walk,Transit,Bike,EI,Middle,SeniorHigh
11252647,4/16/2019,Sold,495000,49,29,20,7,7,8
11252647,3/18/2019,Pending sale,499900,49,29,20,7,7,8
11252647,3/1/2019,Listed for sale,499900,49,29,20,7,7,8
11252647,10/19/2012,Sold,275000,49,29,20,7,7,8
11252647,8/22/2012,Listed for sale,269900,49,29,20,7,7,8
11252647,10/9/1997,Sold,178500,49,29,20,7,7,8
11256984,5/8/2019,Sold,164900,10,32,3,6,5,
11256984,3/26/2019,Pending sale,164900,10,32,3,6,5,
11256984,3/20/2019,Listed for sale,164900,10,32,3,6,5,
11256984,11/8/2013,Sold,69900,10,32,3,6,5,
11256984,9/20/2013,Listed for sale,69900,10,32,3,6,5,
